ElectionDistrict,ElectionPrecinct,JurisdictionCode,JurisdictionName,RaceDate,RaceName,ResultsTime,ResultsType,sourcetype,"total_cast","total_registered","total_turnout","_raw","_time"
013,006,1306,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:24 AM","OFFICIAL RESULTS
",test,763,2498,"30.54","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:01:24 AM;June 26, 2018
;STATISTICS
;1306 013-006
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2498
;REGISTERED VOTERS - Republican;69;2.76
;REGISTERED VOTERS - Democratic;2092;83.75
;REGISTERED VOTERS - Non-Partisan;337;13.49
;BALLOTS CAST - TOTAL;763
;BALLOTS CAST - Republican;7;.92
;BALLOTS CAST - Democratic;736;96.46
;BALLOTS CAST - Non-Partisan;20;2.62
;BALLOTS CAST - BLANK;1;.13
;VOTER TURNOUT - TOTAL;30.54
;VOTER TURNOUT - Republican;10.14
;VOTER TURNOUT - Democratic;35.18
;VOTER TURNOUT - Non-Partisan;5.93
;VOTER TURNOUT - BLANK;.04
;
;","1571302940.09"
006,005,0605,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","09:02 PM","OFFICIAL RESULTS
",test,692,3741,"18.50","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:09:02 PM;June 26, 2018
;STATISTICS
;0605 006-005
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;3741
;REGISTERED VOTERS - Republican;937;25.05
;REGISTERED VOTERS - Democratic;1868;49.93
;REGISTERED VOTERS - Non-Partisan;936;25.02
;BALLOTS CAST - TOTAL;692
;BALLOTS CAST - Republican;142;20.52
;BALLOTS CAST - Democratic;517;74.71
;BALLOTS CAST - Non-Partisan;33;4.77
;BALLOTS CAST - BLANK;1;.14
;VOTER TURNOUT - TOTAL;18.50
;VOTER TURNOUT - Republican;15.15
;VOTER TURNOUT - Democratic;27.68
;VOTER TURNOUT - Non-Partisan;3.53
;VOTER TURNOUT - BLANK;.03
;
;","1571302940.09"
007,025,0725,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:10 AM","OFFICIAL RESULTS
",test,524,2449,"21.40","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:10 AM;June 26, 2018
;STATISTICS
;0725 007-025
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2449
;REGISTERED VOTERS - Republican;423;17.27
;REGISTERED VOTERS - Democratic;1409;57.53
;REGISTERED VOTERS - Non-Partisan;617;25.19
;BALLOTS CAST - TOTAL;524
;BALLOTS CAST - Republican;50;9.54
;BALLOTS CAST - Democratic;456;87.02
;BALLOTS CAST - Non-Partisan;18;3.44
;BALLOTS CAST - BLANK;1;.19
;VOTER TURNOUT - TOTAL;21.40
;VOTER TURNOUT - Republican;11.82
;VOTER TURNOUT - Democratic;32.36
;VOTER TURNOUT - Non-Partisan;2.92
;VOTER TURNOUT - BLANK;.04
;
;","1571302940.09"
005,023,0523,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","08:59 PM","OFFICIAL RESULTS
",test,554,4680,"11.84","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:08:59 PM;June 26, 2018
;STATISTICS
;0523 005-023
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;4680
;REGISTERED VOTERS - Republican;450;9.62
;REGISTERED VOTERS - Democratic;3316;70.85
;REGISTERED VOTERS - Non-Partisan;914;19.53
;BALLOTS CAST - TOTAL;554
;BALLOTS CAST - Republican;40;7.22
;BALLOTS CAST - Democratic;491;88.63
;BALLOTS CAST - Non-Partisan;23;4.15
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;11.84
;VOTER TURNOUT - Republican;8.89
;VOTER TURNOUT - Democratic;14.81
;VOTER TURNOUT - Non-Partisan;2.52
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"
009,032,0932,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:57 AM","OFFICIAL RESULTS
",test,206,597,"34.51","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:57 AM;June 26, 2018
;STATISTICS
;0932 009-032
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;597
;REGISTERED VOTERS - Republican;64;10.72
;REGISTERED VOTERS - Democratic;389;65.16
;REGISTERED VOTERS - Non-Partisan;144;24.12
;BALLOTS CAST - TOTAL;206
;BALLOTS CAST - Republican;4;1.94
;BALLOTS CAST - Democratic;199;96.60
;BALLOTS CAST - Non-Partisan;3;1.46
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;34.51
;VOTER TURNOUT - Republican;6.25
;VOTER TURNOUT - Democratic;51.16
;VOTER TURNOUT - Non-Partisan;2.08
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"
007,020,0720,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:07 AM","OFFICIAL RESULTS
",test,561,2329,"24.09","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:07 AM;June 26, 2018
;STATISTICS
;0720 007-020
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2329
;REGISTERED VOTERS - Republican;440;18.89
;REGISTERED VOTERS - Democratic;1299;55.78
;REGISTERED VOTERS - Non-Partisan;590;25.33
;BALLOTS CAST - TOTAL;561
;BALLOTS CAST - Republican;94;16.76
;BALLOTS CAST - Democratic;441;78.61
;BALLOTS CAST - Non-Partisan;26;4.63
;BALLOTS CAST - BLANK;1;.18
;VOTER TURNOUT - TOTAL;24.09
;VOTER TURNOUT - Republican;21.36
